CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,4,0,4,0,0,4
2,3,3,4,0,Si B,6,3,4,9,0,6
3,4,7,4,9,Si A,5,7,12,9,0,5
4,5,12,12,9,Si B,3,12,12,15,0,3
5,4,16,12,15,Si A,5,16,21,15,0,5
6,7,23,21,15,Si B,4,23,21,27,0,4
7,7,30,21,27,Si A,5,30,35,27,0,5
8,4,34,35,27,Si B,3,34,35,37,0,3
9,3,37,35,37,Si A,3,37,40,37,0,3
10,5,42,40,37,Si B,6,42,40,48,0,6
11,4,46,40,48,Si A,4,46,50,48,0,4
12,7,53,50,48,Si B,4,53,50,57,0,4
13,5,58,50,57,Si A,4,58,62,57,0,4
14,4,62,62,57,Si B,5,62,62,67,0,5
15,5,67,62,67,Si A,5,67,72,67,0,5
16,3,70,72,67,Si B,4,70,72,74,0,4
17,4,74,72,74,Si A,2,74,76,74,0,2
18,4,78,76,74,Si B,4,78,76,82,0,4
19,6,84,76,82,Si A,3,84,87,82,0,3
20,1,85,87,82,Si B,4,85,87,89,0,4
21,4,89,87,89,Si A,3,89,92,89,0,3
22,3,92,92,89,Si B,5,92,92,97,0,5
23,6,98,92,97,Si A,4,98,102,97,0,4
24,1,99,102,97,Si B,5,99,102,104,0,5
25,4,103,102,104,Si A,5,103,108,104,0,5
26,2,105,108,104,Si B,4,105,108,109,0,4
27,3,108,108,109,Si A,4,108,112,109,0,4
28,7,115,112,109,Si B,5,115,112,120,0,5
29,5,120,112,120,Si A,4,120,124,120,0,4
30,5,125,124,120,Si B,6,125,124,131,0,6
31,6,131,124,131,Si A,3,131,134,131,0,3
32,7,138,134,131,Si B,5,138,134,143,0,5
33,3,141,134,143,Si A,3,141,144,143,0,3
34,6,147,144,143,Si B,3,147,144,150,0,3
35,3,150,144,150,Si A,4,150,154,150,0,4
36,2,152,154,150,Si B,4,152,154,156,0,4
37,2,154,154,156,Si A,3,154,157,156,0,3
38,4,158,157,156,Si B,6,158,157,164,0,6
39,2,160,157,164,Si A,3,160,163,164,0,3
40,5,165,163,164,Si A,2,165,167,164,0,2
41,2,167,167,164,Si B,3,167,167,170,0,3
42,5,172,167,170,Si A,2,172,174,170,0,2
43,5,177,174,170,Si B,4,177,174,181,0,4
44,7,184,174,181,Si A,2,184,186,181,0,2
45,6,190,186,181,Si B,4,190,186,194,0,4
46,6,196,186,194,Si A,3,196,199,194,0,3
47,2,198,199,194,Si B,4,198,199,202,0,4
48,1,199,199,202,Si A,3,199,202,202,0,3
49,5,204,202,202,Si A,3,204,207,202,0,3
50,5,209,207,202,Si B,3,209,207,212,0,3
51,2,211,207,212,Si A,3,211,214,212,0,3
52,6,217,214,212,Si B,4,217,214,221,0,4
53,1,218,214,221,Si A,3,218,221,221,0,3
54,6,224,221,221,Si A,2,224,226,221,0,2
55,5,229,226,221,Si B,4,229,226,233,0,4
56,6,235,226,233,Si A,4,235,239,233,0,4
57,5,240,239,233,Si B,5,240,239,245,0,5
58,4,244,239,245,Si A,5,244,249,245,0,5
59,1,245,249,245,Si B,3,245,249,248,0,3
60,2,247,249,248,Si B,5,248,249,253,1,6
61,6,253,249,253,Si A,2,253,255,253,0,2
62,6,259,255,253,Si B,3,259,255,262,0,3
63,5,264,255,262,Si A,3,264,267,262,0,3
64,7,271,267,262,Si B,4,271,267,275,0,4
65,7,278,267,275,Si A,5,278,283,275,0,5
66,7,285,283,275,Si B,3,285,283,288,0,3
67,6,291,283,288,Si A,3,291,294,288,0,3
68,7,298,294,288,Si B,6,298,294,304,0,6
69,4,302,294,304,Si A,3,302,305,304,0,3
70,5,307,305,304,Si B,3,307,305,310,0,3
71,5,312,305,310,Si A,5,312,317,310,0,5
72,6,318,317,310,Si B,6,318,317,324,0,6
73,2,320,317,324,Si A,5,320,325,324,0,5
74,3,323,325,324,Si B,4,324,325,328,1,5
75,1,324,325,328,Si A,3,325,328,328,1,4
76,5,329,328,328,Si A,3,329,332,328,0,3
77,6,335,332,328,Si B,5,335,332,340,0,5
78,6,341,332,340,Si A,2,341,343,340,0,2
79,7,348,343,340,Si B,6,348,343,354,0,6
80,7,355,343,354,Si A,2,355,357,354,0,2
81,2,357,357,354,Si B,3,357,357,360,0,3
82,7,364,357,360,Si A,4,364,368,360,0,4
83,2,366,368,360,Si B,4,366,368,370,0,4
84,5,371,368,370,Si A,2,371,373,370,0,2
85,4,375,373,370,Si B,3,375,373,378,0,3
86,7,382,373,378,Si A,5,382,387,378,0,5
87,2,384,387,378,Si B,5,384,387,389,0,5
88,2,386,387,389,Si A,5,387,392,389,1,6
89,4,390,392,389,Si B,4,390,392,394,0,4
90,5,395,392,394,Si A,5,395,400,394,0,5
91,1,396,400,394,Si B,3,396,400,399,0,3
92,3,399,400,399,Si B,4,399,400,403,0,4
93,2,401,400,403,Si A,5,401,406,403,0,5
94,3,404,406,403,Si B,6,404,406,410,0,6
95,6,410,406,410,Si A,3,410,413,410,0,3
96,7,417,413,410,Si B,3,417,413,420,0,3
97,2,419,413,420,Si A,4,419,423,420,0,4
98,1,420,423,420,Si B,6,420,423,426,0,6
99,5,425,423,426,Si A,3,425,428,426,0,3
100,2,427,428,426,Si B,6,427,428,433,0,6
