CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,4,0,4,0,0,4
2,4,4,4,0,Si B,6,4,4,10,0,6
3,5,9,4,10,Si A,2,9,11,10,0,2
4,1,10,11,10,Si B,4,10,11,14,0,4
5,6,16,11,14,Si A,2,16,18,14,0,2
6,2,18,18,14,Si B,5,18,18,23,0,5
7,2,20,18,23,Si A,3,20,23,23,0,3
8,5,25,23,23,Si A,3,25,28,23,0,3
9,2,27,28,23,Si B,4,27,28,31,0,4
10,7,34,28,31,Si A,5,34,39,31,0,5
11,3,37,39,31,Si B,5,37,39,42,0,5
12,4,41,39,42,Si A,3,41,44,42,0,3
13,5,46,44,42,Si B,4,46,44,50,0,4
14,7,53,44,50,Si A,4,53,57,50,0,4
15,2,55,57,50,Si B,6,55,57,61,0,6
16,2,57,57,61,Si A,2,57,59,61,0,2
17,3,60,59,61,Si A,4,60,64,61,0,4
18,5,65,64,61,Si B,5,65,64,70,0,5
19,5,70,64,70,Si A,3,70,73,70,0,3
20,2,72,73,70,Si B,3,72,73,75,0,3
21,1,73,73,75,Si A,3,73,76,75,0,3
22,2,75,76,75,Si B,6,75,76,81,0,6
23,7,82,76,81,Si A,2,82,84,81,0,2
24,5,87,84,81,Si B,3,87,84,90,0,3
25,3,90,84,90,Si A,4,90,94,90,0,4
26,6,96,94,90,Si B,4,96,94,100,0,4
27,6,102,94,100,Si A,5,102,107,100,0,5
28,6,108,107,100,Si B,4,108,107,112,0,4
29,6,114,107,112,Si A,4,114,118,112,0,4
30,2,116,118,112,Si B,6,116,118,122,0,6
31,4,120,118,122,Si A,2,120,122,122,0,2
32,4,124,122,122,Si A,3,124,127,122,0,3
33,6,130,127,122,Si B,6,130,127,136,0,6
34,2,132,127,136,Si A,5,132,137,136,0,5
35,2,134,137,136,Si B,4,136,137,140,2,6
36,7,141,137,140,Si A,3,141,144,140,0,3
37,3,144,144,140,Si B,6,144,144,150,0,6
38,5,149,144,150,Si A,3,149,152,150,0,3
39,7,156,152,150,Si B,5,156,152,161,0,5
40,3,159,152,161,Si A,3,159,162,161,0,3
41,3,162,162,161,Si B,3,162,162,165,0,3
42,6,168,162,165,Si A,4,168,172,165,0,4
43,1,169,172,165,Si B,5,169,172,174,0,5
44,6,175,172,174,Si A,5,175,180,174,0,5
45,3,178,180,174,Si B,5,178,180,183,0,5
46,2,180,180,183,Si A,2,180,182,183,0,2
47,2,182,182,183,Si A,5,182,187,183,0,5
48,5,187,187,183,Si B,6,187,187,193,0,6
49,3,190,187,193,Si A,3,190,193,193,0,3
50,3,193,193,193,Si A,2,193,195,193,0,2
51,4,197,195,193,Si B,4,197,195,201,0,4
52,3,200,195,201,Si A,2,200,202,201,0,2
53,5,205,202,201,Si B,5,205,202,210,0,5
54,6,211,202,210,Si A,3,211,214,210,0,3
55,7,218,214,210,Si B,5,218,214,223,0,5
56,5,223,214,223,Si A,4,223,227,223,0,4
57,3,226,227,223,Si B,6,226,227,232,0,6
58,6,232,227,232,Si A,2,232,234,232,0,2
59,2,234,234,232,Si B,3,234,234,237,0,3
60,7,241,234,237,Si A,3,241,244,237,0,3
61,7,248,244,237,Si B,4,248,244,252,0,4
62,4,252,244,252,Si A,4,252,256,252,0,4
63,7,259,256,252,Si B,3,259,256,262,0,3
64,1,260,256,262,Si A,2,260,262,262,0,2
65,6,266,262,262,Si A,5,266,271,262,0,5
66,5,271,271,262,Si B,3,271,271,274,0,3
67,7,278,271,274,Si A,3,278,281,274,0,3
68,6,284,281,274,Si B,4,284,281,288,0,4
69,1,285,281,288,Si A,2,285,287,288,0,2
70,3,288,287,288,Si A,4,288,292,288,0,4
71,6,294,292,288,Si B,5,294,292,299,0,5
72,5,299,292,299,Si A,2,299,301,299,0,2
73,3,302,301,299,Si B,3,302,301,305,0,3
74,2,304,301,305,Si A,2,304,306,305,0,2
75,1,305,306,305,Si B,5,305,306,310,0,5
76,7,312,306,310,Si A,2,312,314,310,0,2
77,1,313,314,310,Si B,4,313,314,317,0,4
78,2,315,314,317,Si A,5,315,320,317,0,5
79,1,316,320,317,Si B,3,317,320,320,1,4
80,1,317,320,320,Si A,3,320,323,320,3,6
81,4,321,323,320,Si B,6,321,323,327,0,6
82,4,325,323,327,Si A,3,325,328,327,0,3
83,3,328,328,327,Si B,3,328,328,331,0,3
84,5,333,328,331,Si A,4,333,337,331,0,4
85,6,339,337,331,Si B,3,339,337,342,0,3
86,7,346,337,342,Si A,4,346,350,342,0,4
87,7,353,350,342,Si B,6,353,350,359,0,6
88,1,354,350,359,Si A,3,354,357,359,0,3
89,3,357,357,359,Si A,2,357,359,359,0,2
90,4,361,359,359,Si A,3,361,364,359,0,3
91,4,365,364,359,Si B,3,365,364,368,0,3
92,6,371,364,368,Si A,3,371,374,368,0,3
93,2,373,374,368,Si B,3,373,374,376,0,3
94,6,379,374,376,Si A,2,379,381,376,0,2
95,4,383,381,376,Si B,4,383,381,387,0,4
96,5,388,381,387,Si A,5,388,393,387,0,5
97,4,392,393,387,Si B,5,392,393,397,0,5
98,2,394,393,397,Si A,4,394,398,397,0,4
99,1,395,398,397,Si B,6,397,398,403,2,8
100,6,401,398,403,Si A,2,401,403,403,0,2
