CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,5,0,5,0,0,5
2,5,5,5,0,Si B,6,5,5,11,0,6
3,7,12,5,11,Si A,3,12,15,11,0,3
4,2,14,15,11,Si B,4,14,15,18,0,4
5,7,21,15,18,Si A,5,21,26,18,0,5
6,7,28,26,18,Si B,6,28,26,34,0,6
7,1,29,26,34,Si A,5,29,34,34,0,5
8,1,30,34,34,Si A,3,34,37,34,4,7
9,2,32,37,34,Si B,6,34,37,40,2,8
10,2,34,37,40,Si A,3,37,40,40,3,6
11,1,35,40,40,Si A,5,40,45,40,5,10
12,1,36,45,40,Si B,5,40,45,45,4,9
13,6,42,45,45,Si A,4,45,49,45,3,7
14,4,46,49,45,Si B,6,46,49,52,0,6
15,7,53,49,52,Si A,3,53,56,52,0,3
16,3,56,56,52,Si B,4,56,56,60,0,4
17,2,58,56,60,Si A,2,58,60,60,0,2
18,1,59,60,60,Si A,5,60,65,60,1,6
19,5,64,65,60,Si B,3,64,65,67,0,3
20,7,71,65,67,Si A,3,71,74,67,0,3
21,4,75,74,67,Si B,6,75,74,81,0,6
22,3,78,74,81,Si A,3,78,81,81,0,3
23,3,81,81,81,Si A,3,81,84,81,0,3
24,5,86,84,81,Si B,3,86,84,89,0,3
25,5,91,84,89,Si A,5,91,96,89,0,5
26,3,94,96,89,Si B,5,94,96,99,0,5
27,1,95,96,99,Si A,2,96,98,99,1,3
28,4,99,98,99,Si A,4,99,103,99,0,4
29,2,101,103,99,Si B,5,101,103,106,0,5
30,5,106,103,106,Si A,3,106,109,106,0,3
31,2,108,109,106,Si B,4,108,109,112,0,4
32,2,110,109,112,Si A,3,110,113,112,0,3
33,5,115,113,112,Si B,3,115,113,118,0,3
34,1,116,113,118,Si A,2,116,118,118,0,2
35,6,122,118,118,Si A,3,122,125,118,0,3
36,7,129,125,118,Si B,6,129,125,135,0,6
37,4,133,125,135,Si A,4,133,137,135,0,4
38,1,134,137,135,Si B,5,135,137,140,1,6
39,1,135,137,140,Si A,3,137,140,140,2,5
40,3,138,140,140,Si A,2,140,142,140,2,4
41,1,139,142,140,Si B,4,140,142,144,1,5
42,7,146,142,144,Si A,3,146,149,144,0,3
43,2,148,149,144,Si B,3,148,149,151,0,3
44,5,153,149,151,Si A,5,153,158,151,0,5
45,6,159,158,151,Si B,5,159,158,164,0,5
46,3,162,158,164,Si A,3,162,165,164,0,3
47,3,165,165,164,Si B,3,165,165,168,0,3
48,4,169,165,168,Si A,3,169,172,168,0,3
49,7,176,172,168,Si B,5,176,172,181,0,5
50,5,181,172,181,Si A,5,181,186,181,0,5
51,4,185,186,181,Si B,4,185,186,189,0,4
52,5,190,186,189,Si A,3,190,193,189,0,3
53,4,194,193,189,Si B,5,194,193,199,0,5
54,3,197,193,199,Si A,4,197,201,199,0,4
55,3,200,201,199,Si B,3,200,201,203,0,3
56,3,203,201,203,Si A,5,203,208,203,0,5
57,3,206,208,203,Si B,6,206,208,212,0,6
58,7,213,208,212,Si A,5,213,218,212,0,5
59,6,219,218,212,Si B,4,219,218,223,0,4
60,3,222,218,223,Si A,4,222,226,223,0,4
61,5,227,226,223,Si B,5,227,226,232,0,5
62,6,233,226,232,Si A,2,233,235,232,0,2
63,5,238,235,232,Si B,3,238,235,241,0,3
64,2,240,235,241,Si A,4,240,244,241,0,4
65,2,242,244,241,Si B,4,242,244,246,0,4
66,5,247,244,246,Si A,2,247,249,246,0,2
67,2,249,249,246,Si B,4,249,249,253,0,4
68,2,251,249,253,Si A,3,251,254,253,0,3
69,2,253,254,253,Si B,5,253,254,258,0,5
70,2,255,254,258,Si A,5,255,260,258,0,5
71,5,260,260,258,Si B,5,260,260,265,0,5
72,3,263,260,265,Si A,2,263,265,265,0,2
73,5,268,265,265,Si A,3,268,271,265,0,3
74,5,273,271,265,Si B,5,273,271,278,0,5
75,7,280,271,278,Si A,5,280,285,278,0,5
76,4,284,285,278,Si B,3,284,285,287,0,3
77,7,291,285,287,Si A,3,291,294,287,0,3
78,1,292,294,287,Si B,4,292,294,296,0,4
79,3,295,294,296,Si A,3,295,298,296,0,3
80,7,302,298,296,Si B,6,302,298,308,0,6
81,2,304,298,308,Si A,5,304,309,308,0,5
82,4,308,309,308,Si B,3,308,309,311,0,3
83,6,314,309,311,Si A,4,314,318,311,0,4
84,1,315,318,311,Si B,4,315,318,319,0,4
85,3,318,318,319,Si A,5,318,323,319,0,5
86,5,323,323,319,Si B,6,323,323,329,0,6
87,5,328,323,329,Si A,4,328,332,329,0,4
88,5,333,332,329,Si B,3,333,332,336,0,3
89,6,339,332,336,Si A,5,339,344,336,0,5
90,5,344,344,336,Si B,4,344,344,348,0,4
91,2,346,344,348,Si A,2,346,348,348,0,2
92,1,347,348,348,Si A,5,348,353,348,1,6
93,2,349,353,348,Si B,5,349,353,354,0,5
94,5,354,353,354,Si A,4,354,358,354,0,4
95,3,357,358,354,Si B,4,357,358,361,0,4
96,6,363,358,361,Si A,5,363,368,361,0,5
97,5,368,368,361,Si B,6,368,368,374,0,6
98,6,374,368,374,Si A,2,374,376,374,0,2
99,7,381,376,374,Si B,6,381,376,387,0,6
100,5,386,376,387,Si A,5,386,391,387,0,5
