CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,3,0,3,0,0,3
2,6,6,3,0,Si B,5,6,3,11,0,5
3,6,12,3,11,Si A,4,12,16,11,0,4
4,1,13,16,11,Si B,4,13,16,17,0,4
5,6,19,16,17,Si A,4,19,23,17,0,4
6,1,20,23,17,Si B,4,20,23,24,0,4
7,1,21,23,24,Si A,5,23,28,24,2,7
8,4,25,28,24,Si B,6,25,28,31,0,6
9,7,32,28,31,Si A,4,32,36,31,0,4
10,7,39,36,31,Si B,6,39,36,45,0,6
11,4,43,36,45,Si A,2,43,45,45,0,2
12,6,49,45,45,Si A,5,49,54,45,0,5
13,5,54,54,45,Si B,3,54,54,57,0,3
14,5,59,54,57,Si A,4,59,63,57,0,4
15,1,60,63,57,Si B,4,60,63,64,0,4
16,3,63,63,64,Si A,2,63,65,64,0,2
17,1,64,65,64,Si B,5,64,65,69,0,5
18,7,71,65,69,Si A,2,71,73,69,0,2
19,4,75,73,69,Si B,5,75,73,80,0,5
20,4,79,73,80,Si A,4,79,83,80,0,4
21,1,80,83,80,Si B,3,80,83,83,0,3
22,4,84,83,83,Si A,3,84,87,83,0,3
23,5,89,87,83,Si B,6,89,87,95,0,6
24,2,91,87,95,Si A,2,91,93,95,0,2
25,2,93,93,95,Si A,5,93,98,95,0,5
26,4,97,98,95,Si B,6,97,98,103,0,6
27,2,99,98,103,Si A,5,99,104,103,0,5
28,2,101,104,103,Si B,4,103,104,107,2,6
29,1,102,104,107,Si A,3,104,107,107,2,5
30,7,109,107,107,Si A,5,109,114,107,0,5
31,5,114,114,107,Si B,5,114,114,119,0,5
32,6,120,114,119,Si A,3,120,123,119,0,3
33,6,126,123,119,Si B,3,126,123,129,0,3
34,7,133,123,129,Si A,5,133,138,129,0,5
35,5,138,138,129,Si B,3,138,138,141,0,3
36,4,142,138,141,Si A,4,142,146,141,0,4
37,2,144,146,141,Si B,6,144,146,150,0,6
38,2,146,146,150,Si A,2,146,148,150,0,2
39,3,149,148,150,Si A,2,149,151,150,0,2
40,3,152,151,150,Si B,5,152,151,157,0,5
41,2,154,151,157,Si A,2,154,156,157,0,2
42,1,155,156,157,Si A,2,156,158,157,1,3
43,6,161,158,157,Si B,3,161,158,164,0,3
44,3,164,158,164,Si A,4,164,168,164,0,4
45,3,167,168,164,Si B,5,167,168,172,0,5
46,5,172,168,172,Si A,4,172,176,172,0,4
47,5,177,176,172,Si B,6,177,176,183,0,6
48,7,184,176,183,Si A,2,184,186,183,0,2
49,2,186,186,183,Si B,4,186,186,190,0,4
50,5,191,186,190,Si A,5,191,196,190,0,5
51,7,198,196,190,Si B,3,198,196,201,0,3
52,3,201,196,201,Si A,4,201,205,201,0,4
53,6,207,205,201,Si B,3,207,205,210,0,3
54,5,212,205,210,Si A,2,212,214,210,0,2
55,2,214,214,210,Si B,3,214,214,217,0,3
56,7,221,214,217,Si A,2,221,223,217,0,2
57,3,224,223,217,Si B,4,224,223,228,0,4
58,5,229,223,228,Si A,2,229,231,228,0,2
59,7,236,231,228,Si B,5,236,231,241,0,5
60,7,243,231,241,Si A,2,243,245,241,0,2
61,3,246,245,241,Si B,5,246,245,251,0,5
62,2,248,245,251,Si A,2,248,250,251,0,2
63,3,251,250,251,Si A,2,251,253,251,0,2
64,6,257,253,251,Si B,6,257,253,263,0,6
65,2,259,253,263,Si A,2,259,261,263,0,2
66,6,265,261,263,Si A,2,265,267,263,0,2
67,2,267,267,263,Si B,5,267,267,272,0,5
68,2,269,267,272,Si A,2,269,271,272,0,2
69,5,274,271,272,Si A,5,274,279,272,0,5
70,5,279,279,272,Si B,5,279,279,284,0,5
71,3,282,279,284,Si A,4,282,286,284,0,4
72,3,285,286,284,Si B,6,285,286,291,0,6
73,6,291,286,291,Si A,3,291,294,291,0,3
74,1,292,294,291,Si B,3,292,294,295,0,3
75,6,298,294,295,Si A,5,298,303,295,0,5
76,7,305,303,295,Si B,5,305,303,310,0,5
77,4,309,303,310,Si A,5,309,314,310,0,5
78,5,314,314,310,Si B,4,314,314,318,0,4
79,6,320,314,318,Si A,3,320,323,318,0,3
80,1,321,323,318,Si B,6,321,323,327,0,6
81,1,322,323,327,Si A,5,323,328,327,1,6
82,7,329,328,327,Si B,5,329,328,334,0,5
83,7,336,328,334,Si A,4,336,340,334,0,4
84,2,338,340,334,Si B,5,338,340,343,0,5
85,6,344,340,343,Si A,3,344,347,343,0,3
86,7,351,347,343,Si B,5,351,347,356,0,5
87,4,355,347,356,Si A,4,355,359,356,0,4
88,7,362,359,356,Si B,6,362,359,368,0,6
89,6,368,359,368,Si A,3,368,371,368,0,3
90,7,375,371,368,Si B,4,375,371,379,0,4
91,3,378,371,379,Si A,3,378,381,379,0,3
92,5,383,381,379,Si B,6,383,381,389,0,6
93,7,390,381,389,Si A,3,390,393,389,0,3
94,4,394,393,389,Si B,4,394,393,398,0,4
95,7,401,393,398,Si A,5,401,406,398,0,5
96,6,407,406,398,Si B,4,407,406,411,0,4
97,2,409,406,411,Si A,2,409,411,411,0,2
98,5,414,411,411,Si A,3,414,417,411,0,3
99,3,417,417,411,Si B,4,417,417,421,0,4
100,3,420,417,421,Si A,5,420,425,421,0,5
