CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,4,0,4,0,0,4
2,6,6,4,0,Si B,6,6,4,12,0,6
3,5,11,4,12,Si A,2,11,13,12,0,2
4,5,16,13,12,Si B,6,16,13,22,0,6
5,7,23,13,22,Si A,2,23,25,22,0,2
6,1,24,25,22,Si B,4,24,25,28,0,4
7,2,26,25,28,Si A,3,26,29,28,0,3
8,2,28,29,28,Si B,6,28,29,34,0,6
9,4,32,29,34,Si A,4,32,36,34,0,4
10,3,35,36,34,Si B,6,35,36,41,0,6
11,7,42,36,41,Si A,3,42,45,41,0,3
12,7,49,45,41,Si B,5,49,45,54,0,5
13,3,52,45,54,Si A,2,52,54,54,0,2
14,2,54,54,54,Si A,5,54,59,54,0,5
15,6,60,59,54,Si B,3,60,59,63,0,3
16,5,65,59,63,Si A,3,65,68,63,0,3
17,2,67,68,63,Si B,3,67,68,70,0,3
18,4,71,68,70,Si A,3,71,74,70,0,3
19,2,73,74,70,Si B,4,73,74,77,0,4
20,2,75,74,77,Si A,4,75,79,77,0,4
21,2,77,79,77,Si B,6,77,79,83,0,6
22,2,79,79,83,Si A,3,79,82,83,0,3
23,1,80,82,83,Si A,3,82,85,83,2,5
24,1,81,85,83,Si B,3,83,85,86,2,5
25,3,84,85,86,Si A,4,85,89,86,1,5
26,1,85,89,86,Si B,6,86,89,92,1,7
27,3,88,89,92,Si A,4,89,93,92,1,5
28,3,91,93,92,Si B,3,92,93,95,1,4
29,7,98,93,95,Si A,2,98,100,95,0,2
30,1,99,100,95,Si B,3,99,100,102,0,3
31,6,105,100,102,Si A,4,105,109,102,0,4
32,7,112,109,102,Si B,4,112,109,116,0,4
33,6,118,109,116,Si A,2,118,120,116,0,2
34,7,125,120,116,Si B,3,125,120,128,0,3
35,3,128,120,128,Si A,2,128,130,128,0,2
36,4,132,130,128,Si B,4,132,130,136,0,4
37,4,136,130,136,Si A,2,136,138,136,0,2
38,3,139,138,136,Si B,3,139,138,142,0,3
39,4,143,138,142,Si A,5,143,148,142,0,5
40,4,147,148,142,Si B,5,147,148,152,0,5
41,5,152,148,152,Si A,2,152,154,152,0,2
42,1,153,154,152,Si B,6,153,154,159,0,6
43,5,158,154,159,Si A,4,158,162,159,0,4
44,5,163,162,159,Si B,4,163,162,167,0,4
45,5,168,162,167,Si A,4,168,172,167,0,4
46,1,169,172,167,Si B,5,169,172,174,0,5
47,4,173,172,174,Si A,4,173,177,174,0,4
48,7,180,177,174,Si B,4,180,177,184,0,4
49,5,185,177,184,Si A,4,185,189,184,0,4
50,1,186,189,184,Si B,4,186,189,190,0,4
51,3,189,189,190,Si A,4,189,193,190,0,4
52,1,190,193,190,Si B,5,190,193,195,0,5
53,6,196,193,195,Si A,2,196,198,195,0,2
54,5,201,198,195,Si B,6,201,198,207,0,6
55,2,203,198,207,Si A,4,203,207,207,0,4
56,2,205,207,207,Si A,4,207,211,207,2,6
57,5,210,211,207,Si B,5,210,211,215,0,5
58,3,213,211,215,Si A,3,213,216,215,0,3
59,7,220,216,215,Si B,4,220,216,224,0,4
60,2,222,216,224,Si A,5,222,227,224,0,5
61,7,229,227,224,Si B,3,229,227,232,0,3
62,7,236,227,232,Si A,2,236,238,232,0,2
63,6,242,238,232,Si B,6,242,238,248,0,6
64,6,248,238,248,Si A,5,248,253,248,0,5
65,2,250,253,248,Si B,4,250,253,254,0,4
66,1,251,253,254,Si A,3,253,256,254,2,5
67,3,254,256,254,Si B,5,254,256,259,0,5
68,2,256,256,259,Si A,4,256,260,259,0,4
69,5,261,260,259,Si B,3,261,260,264,0,3
70,3,264,260,264,Si A,2,264,266,264,0,2
71,2,266,266,264,Si B,5,266,266,271,0,5
72,5,271,266,271,Si A,5,271,276,271,0,5
73,3,274,276,271,Si B,6,274,276,280,0,6
74,6,280,276,280,Si A,4,280,284,280,0,4
75,4,284,284,280,Si B,4,284,284,288,0,4
76,6,290,284,288,Si A,4,290,294,288,0,4
77,3,293,294,288,Si B,5,293,294,298,0,5
78,1,294,294,298,Si A,3,294,297,298,0,3
79,3,297,297,298,Si A,3,297,300,298,0,3
80,3,300,300,298,Si B,6,300,300,306,0,6
81,6,306,300,306,Si A,2,306,308,306,0,2
82,2,308,308,306,Si B,6,308,308,314,0,6
83,4,312,308,314,Si A,2,312,314,314,0,2
84,4,316,314,314,Si A,3,316,319,314,0,3
85,4,320,319,314,Si B,4,320,319,324,0,4
86,1,321,319,324,Si A,2,321,323,324,0,2
87,3,324,323,324,Si A,4,324,328,324,0,4
88,7,331,328,324,Si B,6,331,328,337,0,6
89,6,337,328,337,Si A,5,337,342,337,0,5
90,2,339,342,337,Si B,3,339,342,342,0,3
91,4,343,342,342,Si A,2,343,345,342,0,2
92,3,346,345,342,Si B,5,346,345,351,0,5
93,5,351,345,351,Si A,5,351,356,351,0,5
94,7,358,356,351,Si B,6,358,356,364,0,6
95,3,361,356,364,Si A,4,361,365,364,0,4
96,4,365,365,364,Si B,5,365,365,370,0,5
97,3,368,365,370,Si A,2,368,370,370,0,2
98,1,369,370,370,Si A,4,370,374,370,1,5
99,4,373,374,370,Si B,3,373,374,376,0,3
100,7,380,374,376,Si A,2,380,382,376,0,2
