CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,5,0,5,0,0,5
2,2,2,5,0,Si B,6,2,5,8,0,6
3,7,9,5,8,Si A,4,9,13,8,0,4
4,1,10,13,8,Si B,4,10,13,14,0,4
5,6,16,13,14,Si A,5,16,21,14,0,5
6,2,18,21,14,Si B,5,18,21,23,0,5
7,2,20,21,23,Si A,2,21,23,23,1,3
8,7,27,23,23,Si A,2,27,29,23,0,2
9,2,29,29,23,Si B,5,29,29,34,0,5
10,6,35,29,34,Si A,5,35,40,34,0,5
11,1,36,40,34,Si B,4,36,40,40,0,4
12,6,42,40,40,Si A,4,42,46,40,0,4
13,2,44,46,40,Si B,5,44,46,49,0,5
14,2,46,46,49,Si A,5,46,51,49,0,5
15,4,50,51,49,Si B,3,50,51,53,0,3
16,4,54,51,53,Si A,2,54,56,53,0,2
17,7,61,56,53,Si B,4,61,56,65,0,4
18,5,66,56,65,Si A,3,66,69,65,0,3
19,3,69,69,65,Si B,3,69,69,72,0,3
20,3,72,69,72,Si A,2,72,74,72,0,2
21,6,78,74,72,Si B,6,78,74,84,0,6
22,2,80,74,84,Si A,2,80,82,84,0,2
23,6,86,82,84,Si A,5,86,91,84,0,5
24,2,88,91,84,Si B,4,88,91,92,0,4
25,5,93,91,92,Si A,4,93,97,92,0,4
26,5,98,97,92,Si B,6,98,97,104,0,6
27,6,104,97,104,Si A,4,104,108,104,0,4
28,3,107,108,104,Si B,4,107,108,111,0,4
29,7,114,108,111,Si A,4,114,118,111,0,4
30,1,115,118,111,Si B,4,115,118,119,0,4
31,2,117,118,119,Si A,5,118,123,119,1,6
32,2,119,123,119,Si B,5,119,123,124,0,5
33,6,125,123,124,Si A,2,125,127,124,0,2
34,3,128,127,124,Si B,5,128,127,133,0,5
35,4,132,127,133,Si A,4,132,136,133,0,4
36,5,137,136,133,Si B,6,137,136,143,0,6
37,2,139,136,143,Si A,4,139,143,143,0,4
38,1,140,143,143,Si A,5,143,148,143,3,8
39,2,142,148,143,Si B,3,143,148,146,1,4
40,2,144,148,146,Si B,4,146,148,150,2,6
41,7,151,148,150,Si A,3,151,154,150,0,3
42,6,157,154,150,Si B,6,157,154,163,0,6
43,2,159,154,163,Si A,3,159,162,163,0,3
44,5,164,162,163,Si A,4,164,168,163,0,4
45,2,166,168,163,Si B,4,166,168,170,0,4
46,4,170,168,170,Si A,2,170,172,170,0,2
47,1,171,172,170,Si B,5,171,172,176,0,5
48,7,178,172,176,Si A,4,178,182,176,0,4
49,4,182,182,176,Si B,4,182,182,186,0,4
50,3,185,182,186,Si A,3,185,188,186,0,3
51,6,191,188,186,Si B,6,191,188,197,0,6
52,5,196,188,197,Si A,5,196,201,197,0,5
53,5,201,201,197,Si B,5,201,201,206,0,5
54,3,204,201,206,Si A,5,204,209,206,0,5
55,6,210,209,206,Si B,4,210,209,214,0,4
56,6,216,209,214,Si A,3,216,219,214,0,3
57,7,223,219,214,Si B,3,223,219,226,0,3
58,3,226,219,226,Si A,5,226,231,226,0,5
59,3,229,231,226,Si B,5,229,231,234,0,5
60,4,233,231,234,Si A,4,233,237,234,0,4
61,7,240,237,234,Si B,3,240,237,243,0,3
62,3,243,237,243,Si A,5,243,248,243,0,5
63,2,245,248,243,Si B,3,245,248,248,0,3
64,4,249,248,248,Si A,3,249,252,248,0,3
65,2,251,252,248,Si B,5,251,252,256,0,5
66,4,255,252,256,Si A,4,255,259,256,0,4
67,7,262,259,256,Si B,3,262,259,265,0,3
68,1,263,259,265,Si A,3,263,266,265,0,3
69,1,264,266,265,Si B,3,265,266,268,1,4
70,4,268,266,268,Si A,5,268,273,268,0,5
71,4,272,273,268,Si B,4,272,273,276,0,4
72,4,276,273,276,Si A,2,276,278,276,0,2
73,4,280,278,276,Si B,6,280,278,286,0,6
74,4,284,278,286,Si A,4,284,288,286,0,4
75,2,286,288,286,Si B,4,286,288,290,0,4
76,3,289,288,290,Si A,2,289,291,290,0,2
77,1,290,291,290,Si B,3,290,291,293,0,3
78,5,295,291,293,Si A,2,295,297,293,0,2
79,1,296,297,293,Si B,3,296,297,299,0,3
80,1,297,297,299,Si A,5,297,302,299,0,5
81,6,303,302,299,Si B,4,303,302,307,0,4
82,6,309,302,307,Si A,2,309,311,307,0,2
83,6,315,311,307,Si B,4,315,311,319,0,4
84,1,316,311,319,Si A,3,316,319,319,0,3
85,5,321,319,319,Si A,4,321,325,319,0,4
86,2,323,325,319,Si B,5,323,325,328,0,5
87,3,326,325,328,Si A,2,326,328,328,0,2
88,3,329,328,328,Si A,4,329,333,328,0,4
89,7,336,333,328,Si B,5,336,333,341,0,5
90,6,342,333,341,Si A,2,342,344,341,0,2
91,4,346,344,341,Si B,3,346,344,349,0,3
92,1,347,344,349,Si A,5,347,352,349,0,5
93,6,353,352,349,Si B,4,353,352,357,0,4
94,1,354,352,357,Si A,4,354,358,357,0,4
95,4,358,358,357,Si B,3,358,358,361,0,3
96,1,359,358,361,Si A,3,359,362,361,0,3
97,4,363,362,361,Si B,3,363,362,366,0,3
98,4,367,362,366,Si A,3,367,370,366,0,3
99,1,368,370,366,Si B,6,368,370,374,0,6
100,4,372,370,374,Si A,2,372,374,374,0,2
