CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,2,0,2,0,0,2
2,3,3,2,0,Si B,5,3,2,8,0,5
3,3,6,2,8,Si A,2,6,8,8,0,2
4,1,7,8,8,Si A,3,8,11,8,1,4
5,5,12,11,8,Si B,5,12,11,17,0,5
6,4,16,11,17,Si A,5,16,21,17,0,5
7,3,19,21,17,Si B,6,19,21,25,0,6
8,3,22,21,25,Si A,5,22,27,25,0,5
9,2,24,27,25,Si B,4,25,27,29,1,5
10,6,30,27,29,Si A,3,30,33,29,0,3
11,3,33,33,29,Si B,3,33,33,36,0,3
12,7,40,33,36,Si A,5,40,45,36,0,5
13,7,47,45,36,Si B,3,47,45,50,0,3
14,1,48,45,50,Si A,4,48,52,50,0,4
15,3,51,52,50,Si B,5,51,52,56,0,5
16,7,58,52,56,Si A,5,58,63,56,0,5
17,7,65,63,56,Si B,6,65,63,71,0,6
18,3,68,63,71,Si A,4,68,72,71,0,4
19,3,71,72,71,Si B,4,71,72,75,0,4
20,6,77,72,75,Si A,5,77,82,75,0,5
21,7,84,82,75,Si B,6,84,82,90,0,6
22,6,90,82,90,Si A,4,90,94,90,0,4
23,5,95,94,90,Si B,6,95,94,101,0,6
24,6,101,94,101,Si A,3,101,104,101,0,3
25,2,103,104,101,Si B,5,103,104,108,0,5
26,5,108,104,108,Si A,3,108,111,108,0,3
27,2,110,111,108,Si B,3,110,111,113,0,3
28,2,112,111,113,Si A,3,112,115,113,0,3
29,7,119,115,113,Si B,3,119,115,122,0,3
30,2,121,115,122,Si A,4,121,125,122,0,4
31,4,125,125,122,Si B,4,125,125,129,0,4
32,7,132,125,129,Si A,5,132,137,129,0,5
33,4,136,137,129,Si B,5,136,137,141,0,5
34,5,141,137,141,Si A,2,141,143,141,0,2
35,1,142,143,141,Si B,3,142,143,145,0,3
36,3,145,143,145,Si A,3,145,148,145,0,3
37,4,149,148,145,Si B,3,149,148,152,0,3
38,2,151,148,152,Si A,2,151,153,152,0,2
39,7,158,153,152,Si B,3,158,153,161,0,3
40,2,160,153,161,Si A,5,160,165,161,0,5
41,5,165,165,161,Si B,4,165,165,169,0,4
42,7,172,165,169,Si A,4,172,176,169,0,4
43,4,176,176,169,Si B,3,176,176,179,0,3
44,1,177,176,179,Si A,2,177,179,179,0,2
45,5,182,179,179,Si A,4,182,186,179,0,4
46,7,189,186,179,Si B,3,189,186,192,0,3
47,5,194,186,192,Si A,4,194,198,192,0,4
48,4,198,198,192,Si B,5,198,198,203,0,5
49,6,204,198,203,Si A,4,204,208,203,0,4
50,6,210,208,203,Si B,3,210,208,213,0,3
51,7,217,208,213,Si A,2,217,219,213,0,2
52,3,220,219,213,Si B,4,220,219,224,0,4
53,2,222,219,224,Si A,3,222,225,224,0,3
54,2,224,225,224,Si B,4,224,225,228,0,4
55,7,231,225,228,Si A,2,231,233,228,0,2
56,7,238,233,228,Si B,6,238,233,244,0,6
57,2,240,233,244,Si A,5,240,245,244,0,5
58,5,245,245,244,Si B,6,245,245,251,0,6
59,5,250,245,251,Si A,5,250,255,251,0,5
60,6,256,255,251,Si B,6,256,255,262,0,6
61,5,261,255,262,Si A,3,261,264,262,0,3
62,7,268,264,262,Si B,3,268,264,271,0,3
63,5,273,264,271,Si A,3,273,276,271,0,3
64,7,280,276,271,Si B,3,280,276,283,0,3
65,1,281,276,283,Si A,5,281,286,283,0,5
66,2,283,286,283,Si B,5,283,286,288,0,5
67,3,286,286,288,Si A,2,286,288,288,0,2
68,1,287,288,288,Si A,3,288,291,288,1,4
69,3,290,291,288,Si B,4,290,291,294,0,4
70,6,296,291,294,Si A,5,296,301,294,0,5
71,5,301,301,294,Si B,6,301,301,307,0,6
72,3,304,301,307,Si A,4,304,308,307,0,4
73,7,311,308,307,Si B,6,311,308,317,0,6
74,4,315,308,317,Si A,4,315,319,317,0,4
75,6,321,319,317,Si B,6,321,319,327,0,6
76,2,323,319,327,Si A,4,323,327,327,0,4
77,4,327,327,327,Si A,4,327,331,327,0,4
78,6,333,331,327,Si B,3,333,331,336,0,3
79,2,335,331,336,Si A,4,335,339,336,0,4
80,2,337,339,336,Si B,3,337,339,340,0,3
81,1,338,339,340,Si A,4,339,343,340,1,5
82,1,339,343,340,Si B,5,340,343,345,1,6
83,4,343,343,345,Si A,3,343,346,345,0,3
84,6,349,346,345,Si B,6,349,346,355,0,6
85,3,352,346,355,Si A,5,352,357,355,0,5
86,7,359,357,355,Si B,5,359,357,364,0,5
87,5,364,357,364,Si A,3,364,367,364,0,3
88,1,365,367,364,Si B,6,365,367,371,0,6
89,3,368,367,371,Si A,3,368,371,371,0,3
90,5,373,371,371,Si A,5,373,378,371,0,5
91,1,374,378,371,Si B,5,374,378,379,0,5
92,5,379,378,379,Si A,2,379,381,379,0,2
93,5,384,381,379,Si B,4,384,381,388,0,4
94,7,391,381,388,Si A,4,391,395,388,0,4
95,5,396,395,388,Si B,6,396,395,402,0,6
96,3,399,395,402,Si A,4,399,403,402,0,4
97,4,403,403,402,Si B,3,403,403,406,0,3
98,4,407,403,406,Si A,2,407,409,406,0,2
99,3,410,409,406,Si B,3,410,409,413,0,3
100,1,411,409,413,Si A,3,411,414,413,0,3
