CallNumber,InterArrival Time,Arrival Time,When A Available,When B Available,Server Chosen,service Time,Time Service Begins,Service Completion A,Service Completion B,Caller Delay,Time In Sistem
1,0,0,0,0,Si A,4,0,4,0,0,4
2,6,6,4,0,Si B,4,6,4,10,0,4
3,4,10,4,10,Si A,5,10,15,10,0,5
4,4,14,15,10,Si B,3,14,15,17,0,3
5,7,21,15,17,Si A,4,21,25,17,0,4
6,4,25,25,17,Si B,5,25,25,30,0,5
7,5,30,25,30,Si A,3,30,33,30,0,3
8,1,31,33,30,Si B,4,31,33,35,0,4
9,4,35,33,35,Si A,3,35,38,35,0,3
10,2,37,38,35,Si B,5,37,38,42,0,5
11,6,43,38,42,Si A,2,43,45,42,0,2
12,3,46,45,42,Si B,4,46,45,50,0,4
13,7,53,45,50,Si A,4,53,57,50,0,4
14,2,55,57,50,Si B,4,55,57,59,0,4
15,7,62,57,59,Si A,3,62,65,59,0,3
16,4,66,65,59,Si B,3,66,65,69,0,3
17,1,67,65,69,Si A,4,67,71,69,0,4
18,3,70,71,69,Si B,3,70,71,73,0,3
19,1,71,71,73,Si A,2,71,73,73,0,2
20,5,76,73,73,Si A,2,76,78,73,0,2
21,3,79,78,73,Si B,5,79,78,84,0,5
22,5,84,78,84,Si A,3,84,87,84,0,3
23,1,85,87,84,Si B,4,85,87,89,0,4
24,2,87,87,89,Si A,3,87,90,89,0,3
25,5,92,90,89,Si B,4,92,90,96,0,4
26,5,97,90,96,Si A,4,97,101,96,0,4
27,6,103,101,96,Si B,3,103,101,106,0,3
28,7,110,101,106,Si A,2,110,112,106,0,2
29,5,115,112,106,Si B,4,115,112,119,0,4
30,6,121,112,119,Si A,3,121,124,119,0,3
31,1,122,124,119,Si B,3,122,124,125,0,3
32,5,127,124,125,Si A,3,127,130,125,0,3
33,2,129,130,125,Si B,6,129,130,135,0,6
34,3,132,130,135,Si A,2,132,134,135,0,2
35,1,133,134,135,Si A,3,134,137,135,1,4
36,2,135,137,135,Si B,6,135,137,141,0,6
37,3,138,137,141,Si A,3,138,141,141,0,3
38,4,142,141,141,Si A,4,142,146,141,0,4
39,5,147,146,141,Si B,6,147,146,153,0,6
40,7,154,146,153,Si A,4,154,158,153,0,4
41,2,156,158,153,Si B,4,156,158,160,0,4
42,4,160,158,160,Si A,3,160,163,160,0,3
43,3,163,163,160,Si B,3,163,163,166,0,3
44,2,165,163,166,Si A,2,165,167,166,0,2
45,6,171,167,166,Si B,3,171,167,174,0,3
46,5,176,167,174,Si A,5,176,181,174,0,5
47,3,179,181,174,Si B,6,179,181,185,0,6
48,5,184,181,185,Si A,5,184,189,185,0,5
49,5,189,189,185,Si B,6,189,189,195,0,6
50,7,196,189,195,Si A,5,196,201,195,0,5
51,7,203,201,195,Si B,5,203,201,208,0,5
52,2,205,201,208,Si A,3,205,208,208,0,3
53,5,210,208,208,Si A,5,210,215,208,0,5
54,4,214,215,208,Si B,3,214,215,217,0,3
55,6,220,215,217,Si A,4,220,224,217,0,4
56,2,222,224,217,Si B,5,222,224,227,0,5
57,5,227,224,227,Si A,2,227,229,227,0,2
58,7,234,229,227,Si B,4,234,229,238,0,4
59,4,238,229,238,Si A,3,238,241,238,0,3
60,1,239,241,238,Si B,6,239,241,245,0,6
61,7,246,241,245,Si A,4,246,250,245,0,4
62,1,247,250,245,Si B,6,247,250,253,0,6
63,4,251,250,253,Si A,5,251,256,253,0,5
64,5,256,256,253,Si B,5,256,256,261,0,5
65,1,257,256,261,Si A,4,257,261,261,0,4
66,1,258,261,261,Si A,2,261,263,261,3,5
67,7,265,263,261,Si B,5,265,263,270,0,5
68,3,268,263,270,Si A,5,268,273,270,0,5
69,2,270,273,270,Si B,6,270,273,276,0,6
70,6,276,273,276,Si A,3,276,279,276,0,3
71,6,282,279,276,Si B,5,282,279,287,0,5
72,1,283,279,287,Si A,2,283,285,287,0,2
73,1,284,285,287,Si A,2,285,287,287,1,3
74,4,288,287,287,Si A,5,288,293,287,0,5
75,3,291,293,287,Si B,5,291,293,296,0,5
76,5,296,293,296,Si A,3,296,299,296,0,3
77,3,299,299,296,Si B,4,299,299,303,0,4
78,1,300,299,303,Si A,3,300,303,303,0,3
79,2,302,303,303,Si A,2,303,305,303,1,3
80,4,306,305,303,Si B,5,306,305,311,0,5
81,1,307,305,311,Si A,4,307,311,311,0,4
82,7,314,311,311,Si A,5,314,319,311,0,5
83,1,315,319,311,Si B,6,315,319,321,0,6
84,7,322,319,321,Si A,5,322,327,321,0,5
85,7,329,327,321,Si B,5,329,327,334,0,5
86,5,334,327,334,Si A,2,334,336,334,0,2
87,2,336,336,334,Si B,5,336,336,341,0,5
88,6,342,336,341,Si A,5,342,347,341,0,5
89,4,346,347,341,Si B,4,346,347,350,0,4
90,4,350,347,350,Si A,4,350,354,350,0,4
91,2,352,354,350,Si B,4,352,354,356,0,4
92,3,355,354,356,Si A,3,355,358,356,0,3
93,4,359,358,356,Si B,5,359,358,364,0,5
94,2,361,358,364,Si A,2,361,363,364,0,2
95,1,362,363,364,Si A,5,363,368,364,1,6
96,6,368,368,364,Si B,6,368,368,374,0,6
97,6,374,368,374,Si A,5,374,379,374,0,5
98,3,377,379,374,Si B,3,377,379,380,0,3
99,2,379,379,380,Si A,2,379,381,380,0,2
100,2,381,381,380,Si B,4,381,381,385,0,4
